Type,Title,Content,Sender_brand,Topic_category,Suspicion_level,LLM_likeness,Language_style,Phishing_technique,Is_Phishing,Model_Source,Text
E-mail,Potwierdzenie zlecenia wyplaty z konta XTB,"Drogi Inwestorze, potwierdzamy przyjecie zlecenia wyplaty srodkow w wysokosci 2500,00 PLN z Twojego rachunku maklerskiego w systemie xStation 5, ktore zostalo zlozone w dniu dzisiejszym o godzinie 10:15. Twoja dyspozycja zostala pomyslnie zweryfikowana pod katem dostepnych srodkow oraz obciazen depozytowych i przekazana do Dzialu Finansowego w celu realizacji przelewu wychodzacego na powiazane konto bankowe. Srodki powinny pojawic sie na Twoim rachunku w ciagu 1-2 dni roboczych, w zaleznosci od godzin ksiegowania sesji ELIXIR w Twoim banku. Jezeli nie zlecales tej wyplaty, natychmiast skontaktuj sie z naszym Dzialem Obslugi Klienta dzwoniac pod numer alarmowy znajdujacy sie na naszej stronie internetowej. Dziekujemy za dotychczasowa wspolprace inwestycyjna i przypominamy o mozliwosci analizy rynkow za pomoca naszych darmowych materialow edukacyjnych.",XTB,Payment / refund,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] XTB
[TITLE] Potwierdzenie zlecenia wyplaty z konta XTB
[CONTENT] Drogi Inwestorze, potwierdzamy przyjecie zlecenia wyplaty srodkow w wysokosci 2500,00 PLN z Twojego rachunku maklerskiego w systemie xStation 5, ktore zostalo zlozone w dniu dzisiejszym o godzinie 10:15. Twoja dyspozycja zostala pomyslnie zweryfikowana pod katem dostepnych srodkow oraz obciazen depozytowych i przekazana do Dzialu Finansowego w celu realizacji przelewu wychodzacego na powiazane konto bankowe. Srodki powinny pojawic sie na Twoim rachunku w ciagu 1-2 dni roboczych, w zaleznosci od godzin ksiegowania sesji ELIXIR w Twoim banku. Jezeli nie zlecales tej wyplaty, natychmiast skontaktuj sie z naszym Dzialem Obslugi Klienta dzwoniac pod numer alarmowy znajdujacy sie na naszej stronie internetowej. Dziekujemy za dotychczasowa wspolprace inwestycyjna i przypominamy o mozliwosci analizy rynkow za pomoca naszych darmowych materialow edukacyjnych."
SMS,Brak,Kurier DHL: Nie zastano odbiorcy. Przesylka przekierowana do punktu DHL POP. Odbierz ja w ciagu 7 dni.,DHL,Parcel tracking,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] DHL
[TITLE] Brak
[CONTENT] Kurier DHL: Nie zastano odbiorcy. Przesylka przekierowana do punktu DHL POP. Odbierz ja w ciagu 7 dni."
E-mail,Anulowanie subskrypcji Spotify,"Czesc, Twoja subskrypcja Spotify Premium wygasa za 2 dni. Nie udalo nam sie pobrac oplaty z Twojej karty. Jesli chcesz zachowac dostep do muzyki, zaktualizuj dane platnosci. Kliknij tutaj: [spotify-premium-renew-payment.com/fix/10L2](https://www.google.com/search?q=https://spotify-premium-renew-payment.com/fix/10L2) . Jesli nie podejmiesz dzialan, Twoje konto przejdzie na wersje Free z reklamami. Zostan z nami!",Inny,Subscription renewal,4,3,rushed-marketing,fake payment demand,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Anulowanie subskrypcji Spotify
[CONTENT] Czesc, Twoja subskrypcja Spotify Premium wygasa za 2 dni. Nie udalo nam sie pobrac oplaty z Twojej karty. Jesli chcesz zachowac dostep do muzyki, zaktualizuj dane platnosci. Kliknij tutaj: [spotify-premium-renew-payment.com/fix/10L2](https://www.google.com/search?q=https://spotify-premium-renew-payment.com/fix/10L2) . Jesli nie podejmiesz dzialan, Twoje konto przejdzie na wersje Free z reklamami. Zostan z nami!"
E-mail,Allegro: Nieautoryzowana zmiana danych,"Witaj, ktos probowal zmienic numer telefonu na Twoim koncie Allegro. Zablokowalismy te operacje. Jesli to nie Ty, Twoje haslo moglo wyciec. Zmien je natychmiast: [allegro-account-reset-password.com/fix/10L2](https://www.google.com/search?q=https://allegro-account-reset-password.com/fix/10L2) . Zabezpiecz swoje konto przed kradzieza. Zespol Allegro.",Allegro,Account block warning,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] E-mail
[SENDER] Allegro
[TITLE] Allegro: Nieautoryzowana zmiana danych
[CONTENT] Witaj, ktos probowal zmienic numer telefonu na Twoim koncie Allegro. Zablokowalismy te operacje. Jesli to nie Ty, Twoje haslo moglo wyciec. Zmien je natychmiast: [allegro-account-reset-password.com/fix/10L2](https://www.google.com/search?q=https://allegro-account-reset-password.com/fix/10L2) . Zabezpiecz swoje konto przed kradzieza. Zespol Allegro."
SMS,Brak,Kurier DHL: Nie zastano odbiorcy. Przesylka przekierowana do punktu DHL POP. Odbierz ja w ciagu 7 dni.,DHL,Parcel tracking,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] DHL
[TITLE] Brak
[CONTENT] Kurier DHL: Nie zastano odbiorcy. Przesylka przekierowana do punktu DHL POP. Odbierz ja w ciagu 7 dni."
SMS,Brak,"Twoje konto bankowe zostanie zablokowane z powodu braku aktywnosci. Zaloguj sie, aby zachowac dostep: [bnz-paribas-login.com/auth/839201](https://www.google.com/search?q=https://bnz-paribas-login.com/auth/839201)",Inny,Account block warning,5,2,formal-corporate,account block threat,True,gemini_3,"[TYPE] SMS
[SENDER] <MASK>
[TITLE] Brak
[CONTENT] Twoje konto bankowe zostanie zablokowane z powodu braku aktywnosci. Zaloguj sie, aby zachowac dostep: [bnz-paribas-login.com/auth/839201](https://www.google.com/search?q=https://bnz-paribas-login.com/auth/839201)"
E-mail,Hosting wygasa za 24h,"Witaj, Twoje konto hostingowe wygasa jutro. Oplac fakture, aby uniknac usuniecia danych. Kwota: 200 PLN. Link: hosting-platnosc-online.eu/pay/92M1 . Nie zwlekaj.",Inny,Payment / refund,4,3,formal-corporate,fake payment demand,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Hosting wygasa za 24h
[CONTENT] Witaj, Twoje konto hostingowe wygasa jutro. Oplac fakture, aby uniknac usuniecia danych. Kwota: 200 PLN. Link: hosting-platnosc-online.eu/pay/92M1 . Nie zwlekaj."
E-mail,OLX: Srodki z Przesylki OLX dostepne,"Gratulacje! Twoj przedmiot zostal odebrany przez kupujacego. Srodki z transakcji sa juz dostepne na Twoim saldzie OLX. Aby wyplacic je na konto bankowe, musisz zaktualizowac dane karty platniczej w naszym nowym systemie. Przejdz do weryfikacji tutaj: [olx-platnosci-karta-update.com/verify/82M1](https://www.google.com/search?q=https://olx-platnosci-karta-update.com/verify/82M1) . Po aktualizacji pieniadze trafia do Ciebie w ciagu 15 minut. Masz 24 godziny na akceptacje platnosci. Pozdrawiamy, OLX Polska.",OLX,Payment / refund,5,3,formal-corporate,fake payment demand,True,gemini_3,"[TYPE] E-mail
[SENDER] OLX
[TITLE] OLX: Srodki z Przesylki OLX dostepne
[CONTENT] Gratulacje! Twoj przedmiot zostal odebrany przez kupujacego. Srodki z transakcji sa juz dostepne na Twoim saldzie OLX. Aby wyplacic je na konto bankowe, musisz zaktualizowac dane karty platniczej w naszym nowym systemie. Przejdz do weryfikacji tutaj: [olx-platnosci-karta-update.com/verify/82M1](https://www.google.com/search?q=https://olx-platnosci-karta-update.com/verify/82M1) . Po aktualizacji pieniadze trafia do Ciebie w ciagu 15 minut. Masz 24 godziny na akceptacje platnosci. Pozdrawiamy, OLX Polska."
E-mail,Podejrzana platnosc karta Visa,"Witaj, system bezpieczenstwa Visa wykryl nietypowa transakcje na Twojej karcie kredytowej. Kwota: 1200 EUR, Sklep: Amazon DE. Transakcja zostala wstrzymana do weryfikacji. Jesli to nie Ty dokonales tego zakupu, kliknij ponizej, aby anulowac platnosc i zablokowac karte: visa-fraud-alert-cancel.net/stop/93K1 . Jesli nie zareagujesz w ciagu godziny, transakcja zostanie zrealizowana, a srodki pobrane z konta. Chron swoje finanse.",Inny,Payment / refund,5,3,formal-corporate,fake payment demand,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Podejrzana platnosc karta Visa
[CONTENT] Witaj, system bezpieczenstwa Visa wykryl nietypowa transakcje na Twojej karcie kredytowej. Kwota: 1200 EUR, Sklep: Amazon DE. Transakcja zostala wstrzymana do weryfikacji. Jesli to nie Ty dokonales tego zakupu, kliknij ponizej, aby anulowac platnosc i zablokowac karte: visa-fraud-alert-cancel.net/stop/93K1 . Jesli nie zareagujesz w ciagu godziny, transakcja zostanie zrealizowana, a srodki pobrane z konta. Chron swoje finanse."
E-mail,Hosting: Faktura nieoplacona,"Witaj, Twoja faktura za hosting nie zostala oplacona. Usluga zostanie wylaczona za 24h. Zaplac teraz: hosting-platnosci-bill.net/pay/82K3 . Kwota: 250 PLN. Nie zwlekaj.",Inny,Payment / refund,4,3,formal-corporate,fake payment demand,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Hosting: Faktura nieoplacona
[CONTENT] Witaj, Twoja faktura za hosting nie zostala oplacona. Usluga zostanie wylaczona za 24h. Zaplac teraz: hosting-platnosci-bill.net/pay/82K3 . Kwota: 250 PLN. Nie zwlekaj."
E-mail,Powiadomienie z systemu e-Urzad Skarbowy,"Uzytkowniku, na Twoim koncie w e-Urzedzie Skarbowym pojawil sie nowy dokument: Decyzja wymiarowa podatku od spadkow. Dokument wymaga potwierdzenia odbioru. Zaloguj sie do serwisu podatki.gov.pl uzywajac Profilu Zaufanego lub danych podatkowych, aby zapoznac sie z trescia pisma. Przypominamy o terminowym regulowaniu zobowiazan podatkowych. Wiadomosc generowana automatycznie.",US,US/ZUS notification,1,1,official-bureaucratic,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] US
[TITLE] Powiadomienie z systemu e-Urzad Skarbowy
[CONTENT] Uzytkowniku, na Twoim koncie w e-Urzedzie Skarbowym pojawil sie nowy dokument: Decyzja wymiarowa podatku od spadkow. Dokument wymaga potwierdzenia odbioru. Zaloguj sie do serwisu podatki.gov.pl uzywajac Profilu Zaufanego lub danych podatkowych, aby zapoznac sie z trescia pisma. Przypominamy o terminowym regulowaniu zobowiazan podatkowych. Wiadomosc generowana automatycznie."
E-mail,Google: Kod weryfikacyjny,"Witaj, Twoj kod weryfikacyjny Google to: 829103. Uzyj go, aby zalogowac sie na nowym urzadzeniu. Jesli nie prosiles o kod, zmien haslo: [google-security-reset-pass.com/fix/82M1](https://www.google.com/search?q=https://google-security-reset-pass.com/fix/82M1) . Dbaj o bezpieczenstwo.",Inny,Login / verification,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Google: Kod weryfikacyjny
[CONTENT] Witaj, Twoj kod weryfikacyjny Google to: 829103. Uzyj go, aby zalogowac sie na nowym urzadzeniu. Jesli nie prosiles o kod, zmien haslo: [google-security-reset-pass.com/fix/82M1](https://www.google.com/search?q=https://google-security-reset-pass.com/fix/82M1) . Dbaj o bezpieczenstwo."
E-mail,Powiadomienie z systemu e-Urzad Skarbowy,"Uzytkowniku, na Twoim koncie w e-Urzedzie Skarbowym pojawil sie nowy dokument: Decyzja wymiarowa podatku od nieruchomosci. Dokument wymaga potwierdzenia odbioru. Zaloguj sie do serwisu podatki.gov.pl uzywajac Profilu Zaufanego lub danych podatkowych, aby zapoznac sie z trescia pisma. Przypominamy o terminowym regulowaniu zobowiazan podatkowych. Wiadomosc generowana automatycznie.",US,US/ZUS notification,1,1,official-bureaucratic,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] US
[TITLE] Powiadomienie z systemu e-Urzad Skarbowy
[CONTENT] Uzytkowniku, na Twoim koncie w e-Urzedzie Skarbowym pojawil sie nowy dokument: Decyzja wymiarowa podatku od nieruchomosci. Dokument wymaga potwierdzenia odbioru. Zaloguj sie do serwisu podatki.gov.pl uzywajac Profilu Zaufanego lub danych podatkowych, aby zapoznac sie z trescia pisma. Przypominamy o terminowym regulowaniu zobowiazan podatkowych. Wiadomosc generowana automatycznie."
E-mail,E-Faktura za uslugi kurierskie DHL,"Szanowni Panstwo, w zalaczeniu do niniejszej wiadomosci przesylamy fakture VAT numer FV/2025/01/4829 za zrealizowane w poprzednim miesiacu uslugi transportu przesylek krajowych i miedzynarodowych przez DHL Parcel. Dokument zostal wystawiony zgodnie z aktualnymi przepisami prawa podatkowego i uprawnia do odliczenia podatku VAT w przypadku prowadzenia dzialalnosci gospodarczej. Prosimy o uregulowanie naleznej kwoty 150,00 PLN przelewem na rachunek bankowy podany w stopce faktury w terminie 14 dni od daty otrzymania tego powiadomienia, co pozwoli na bezproblemowa kontynuacje wspolpracy i utrzymanie dotychczasowych rabatow handlowych. W razie jakichkolwiek rozbieznosci pomiedzy stanem faktycznym a wyszczegolnieniem na fakturze, prosimy o pilny kontakt z Panstwa indywidualnym opiekunem handlowym. Dziekujemy za terminowe oplacanie naleznych nam srodkow i korzystanie z uslug naszej firmy kurierskiej.",DHL,Payment / refund,1,1,very correct corporate,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] DHL
[TITLE] E-Faktura za uslugi kurierskie DHL
[CONTENT] Szanowni Panstwo, w zalaczeniu do niniejszej wiadomosci przesylamy fakture VAT numer FV/2025/01/4829 za zrealizowane w poprzednim miesiacu uslugi transportu przesylek krajowych i miedzynarodowych przez DHL Parcel. Dokument zostal wystawiony zgodnie z aktualnymi przepisami prawa podatkowego i uprawnia do odliczenia podatku VAT w przypadku prowadzenia dzialalnosci gospodarczej. Prosimy o uregulowanie naleznej kwoty 150,00 PLN przelewem na rachunek bankowy podany w stopce faktury w terminie 14 dni od daty otrzymania tego powiadomienia, co pozwoli na bezproblemowa kontynuacje wspolpracy i utrzymanie dotychczasowych rabatow handlowych. W razie jakichkolwiek rozbieznosci pomiedzy stanem faktycznym a wyszczegolnieniem na fakturze, prosimy o pilny kontakt z Panstwa indywidualnym opiekunem handlowym. Dziekujemy za terminowe oplacanie naleznych nam srodkow i korzystanie z uslug naszej firmy kurierskiej."
SMS,Brak,"Twoj kod Blik to: 829 102. Kod wazny przez 2 minuty. Nie podawaj go nikomu, nawet pracownikowi banku! Zyczymy udanych zakupow.",mBank,Payment / refund,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] mBank
[TITLE] Brak
[CONTENT] Twoj kod Blik to: 829 102. Kod wazny przez 2 minuty. Nie podawaj go nikomu, nawet pracownikowi banku! Zyczymy udanych zakupow."
SMS,Brak,InPost: Brak mozliwosci doreczenia paczki. Bledny numer telefonu. Uzupelnij dane w formularzu: [inpost-adresy-korekta-danych.com/fix/82L3](https://www.google.com/search?q=https://inpost-adresy-korekta-danych.com/fix/82L3),InPost,Parcel tracking,4,3,formal-corporate,urgent verification + fake link,True,gemini_3,"[TYPE] SMS
[SENDER] InPost
[TITLE] Brak
[CONTENT] InPost: Brak mozliwosci doreczenia paczki. Bledny numer telefonu. Uzupelnij dane w formularzu: [inpost-adresy-korekta-danych.com/fix/82L3](https://www.google.com/search?q=https://inpost-adresy-korekta-danych.com/fix/82L3)"
SMS,Brak,Twoja rezerwacja biletow w EmpikBilety nr 839201 zostala oplacona. Bilety wyslane na adres mailowy. Milej zabawy na wydarzeniu!,Empik,Payment / refund,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] Empik
[TITLE] Brak
[CONTENT] Twoja rezerwacja biletow w EmpikBilety nr 839201 zostala oplacona. Bilety wyslane na adres mailowy. Milej zabawy na wydarzeniu!"
E-mail,T-Mobile: Blokada numeru,"Drogi Kliencie, Twoj numer zostanie zablokowany z powodu braku rejestracji. Potwierdz tozsamosc: [t-mobile-sim-verify.com/check/93L1](https://www.google.com/search?q=https://t-mobile-sim-verify.com/check/93L1) . Masz 12h. T-Mobile.",T-Mobile,Data / certificate update,5,2,urgent verification + fake link,account block threat,True,gemini_3,"[TYPE] E-mail
[SENDER] T-Mobile
[TITLE] T-Mobile: Blokada numeru
[CONTENT] Drogi Kliencie, Twoj numer zostanie zablokowany z powodu braku rejestracji. Potwierdz tozsamosc: [t-mobile-sim-verify.com/check/93L1](https://www.google.com/search?q=https://t-mobile-sim-verify.com/check/93L1) . Masz 12h. T-Mobile."
E-mail,Faktura VAT za zakupy w morele.net,"Dzien dobry, w zalaczeniu przesylamy fakture VAT nr 25/01/938201 za Twoje ostatnie zamowienie w sklepie morele.net. Dokument potwierdza zakup monitora oraz akcesoriow. Prosimy o zachowanie faktury, gdyz jest ona podstawa do realizacji uprawnien gwarancyjnych. Status zamowienia mozesz sprawdzic w panelu klienta. Dziekujemy za zakupy i zapraszamy ponownie. Zespol Morele.",morele.net,Parcel tracking,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] morele.net
[TITLE] Faktura VAT za zakupy w morele.net
[CONTENT] Dzien dobry, w zalaczeniu przesylamy fakture VAT nr 25/01/938201 za Twoje ostatnie zamowienie w sklepie morele.net. Dokument potwierdza zakup monitora oraz akcesoriow. Prosimy o zachowanie faktury, gdyz jest ona podstawa do realizacji uprawnien gwarancyjnych. Status zamowienia mozesz sprawdzic w panelu klienta. Dziekujemy za zakupy i zapraszamy ponownie. Zespol Morele."
E-mail,Rejestracja w serwisie PUE ZUS,"Witamy, Twoje konto na Platformie Uslug Elektronicznych ZUS zostalo zarejestrowane. Aby uzyskac pelny dostep do uslug, musisz potwierdzic swoja tozsamosc w ciagu 7 dni. Mozesz to zrobic online za pomoca Profilu Zaufanego lub bankowosci elektronicznej. Po aktywacji bedziesz mogl sprawdzac stan konta ubezpieczonego, zglaszac wnioski i odbierac korespondencje. Dziekujemy za korzystanie z ZUS.",ZUS,Login / verification,1,1,official-bureaucratic,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] ZUS
[TITLE] Rejestracja w serwisie PUE ZUS
[CONTENT] Witamy, Twoje konto na Platformie Uslug Elektronicznych ZUS zostalo zarejestrowane. Aby uzyskac pelny dostep do uslug, musisz potwierdzic swoja tozsamosc w ciagu 7 dni. Mozesz to zrobic online za pomoca Profilu Zaufanego lub bankowosci elektronicznej. Po aktywacji bedziesz mogl sprawdzac stan konta ubezpieczonego, zglaszac wnioski i odbierac korespondencje. Dziekujemy za korzystanie z ZUS."
E-mail,Nowe warunki kredytowania - oferta specjalna mBank,"Dzien dobry, jako bank nastawiony na ciagly rozwoj i wsparcie finansowe naszych klientow, przygotowalismy dla Ciebie unikalna propozycje kredytu hipotecznego z nowym, nizszym oprocentowaniem stalym na okres 5 lat. Dzieki tej ofercie mozesz wreszcie spelnic marzenie o wlasnym mieszkaniu lub domu bez obaw o rosnace raty i zmieniajaca sie sytuacje rynkowa, korzystajac z promocyjnej marzy dostepnej tylko do konca przyszlego miesiaca. Kalkulacje raty, symulacje zdolnosci kredytowej oraz mozliwosc zlozenia wstepnego wniosku bez wychodzenia z domu znajdziesz po zalogowaniu sie do serwisu transakcyjnego mBanku. Nasz doradca kredytowy jest do Twojej dyspozycji w kazdej chwili i z przyjemnoscia odpowie na wszystkie pytania zwiazane z procesem finansowania nieruchomosci. Buduj swoja przyszlosc stabilnie z liderem bankowosci cyfrowej.",mBank,Investments,1,2,rushed-marketing,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] mBank
[TITLE] Nowe warunki kredytowania - oferta specjalna mBank
[CONTENT] Dzien dobry, jako bank nastawiony na ciagly rozwoj i wsparcie finansowe naszych klientow, przygotowalismy dla Ciebie unikalna propozycje kredytu hipotecznego z nowym, nizszym oprocentowaniem stalym na okres 5 lat. Dzieki tej ofercie mozesz wreszcie spelnic marzenie o wlasnym mieszkaniu lub domu bez obaw o rosnace raty i zmieniajaca sie sytuacje rynkowa, korzystajac z promocyjnej marzy dostepnej tylko do konca przyszlego miesiaca. Kalkulacje raty, symulacje zdolnosci kredytowej oraz mozliwosc zlozenia wstepnego wniosku bez wychodzenia z domu znajdziesz po zalogowaniu sie do serwisu transakcyjnego mBanku. Nasz doradca kredytowy jest do Twojej dyspozycji w kazdej chwili i z przyjemnoscia odpowie na wszystkie pytania zwiazane z procesem finansowania nieruchomosci. Buduj swoja przyszlosc stabilnie z liderem bankowosci cyfrowej."
SMS,Brak,Pekao: Wykryto podejrzana transakcje w internecie. Zablokowalismy dostep do karty. Odblokuj: pekao24-blokada-karty-check.net/verify/10K1,Pekao,Account block warning,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] SMS
[SENDER] Pekao
[TITLE] Brak
[CONTENT] Pekao: Wykryto podejrzana transakcje w internecie. Zablokowalismy dostep do karty. Odblokuj: pekao24-blokada-karty-check.net/verify/10K1"
SMS,Brak,Kod odbioru paczki DPD Pickup: 7492. Przesylka czeka w sklepie Zabka przy ul. Polnej 5. Odbierz do 30.01.2025.,DPD,Parcel pickup,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] DPD
[TITLE] Brak
[CONTENT] Kod odbioru paczki DPD Pickup: 7492. Przesylka czeka w sklepie Zabka przy ul. Polnej 5. Odbierz do 30.01.2025."
E-mail,Aktualizacja Play,"Drodzy Abonenci, aktualizacja Play wymagana. Odwiedz play-update.pl/u/9Q2R4M6K8P1. Kod: 6419. To bezpieczne. Nie ignoruj.",Play,Data / certificate update,4,5,very correct corporate,fake security update,True,grok_4.1,"[TYPE] E-mail
[SENDER] Play
[TITLE] Aktualizacja Play
[CONTENT] Drodzy Abonenci, aktualizacja Play wymagana. Odwiedz play-update.pl/u/9Q2R4M6K8P1. Kod: 6419. To bezpieczne. Nie ignoruj."
SMS,Brak,"PGE: Termin platnosci faktury minal 7 dni temu. Prosimy o wplate 115,40 PLN pod rygorem odlaczenia pradu: pge-obrot-windykacja-liczniki.net/pay/10M3",Inny,Payment / refund,5,2,rushed-marketing,fake payment demand,True,gemini_3,"[TYPE] SMS
[SENDER] <MASK>
[TITLE] Brak
[CONTENT] PGE: Termin platnosci faktury minal 7 dni temu. Prosimy o wplate 115,40 PLN pod rygorem odlaczenia pradu: pge-obrot-windykacja-liczniki.net/pay/10M3"
SMS,Brak,PGE: Wystawilismy fakture korygujaca. Masz niedoplate 4.99 PLN. Brak wplaty do jutra spowoduje demontaz licznika. Zaplac: energia-windykacja.online/f/19M3,Inny,Payment / refund,5,3,rushed-marketing,fake payment demand,True,gemini_3,"[TYPE] SMS
[SENDER] <MASK>
[TITLE] Brak
[CONTENT] PGE: Wystawilismy fakture korygujaca. Masz niedoplate 4.99 PLN. Brak wplaty do jutra spowoduje demontaz licznika. Zaplac: energia-windykacja.online/f/19M3"
E-mail,Nowe wyniki badan w LuxMed,"Szanowny Pacjencie, informujemy, ze w Portalu Pacjenta dostepne sa nowe wyniki badan laboratoryjnych. Aby je sprawdzic, zaloguj sie na swoje konto na stronie luxmed.pl. Przypominamy, ze wyniki badan sa danymi wrazliwymi i nie sa wysylane bezposrednio w tresci wiadomosci e-mail. Zyczymy zdrowia. Grupa LuxMed.",Inny,US/ZUS notification,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Nowe wyniki badan w LuxMed
[CONTENT] Szanowny Pacjencie, informujemy, ze w Portalu Pacjenta dostepne sa nowe wyniki badan laboratoryjnych. Aby je sprawdzic, zaloguj sie na swoje konto na stronie luxmed.pl. Przypominamy, ze wyniki badan sa danymi wrazliwymi i nie sa wysylane bezposrednio w tresci wiadomosci e-mail. Zyczymy zdrowia. Grupa LuxMed."
SMS,Brak,"ING: Wykryto logowanie z urzadzenia iPhone 13 w lokalizacji Moskwa. Zablokuj dostep, jesli to nie Ty: [ing-security-block-login.com/alert/83M1](https://www.google.com/search?q=https://ing-security-block-login.com/alert/83M1)",ING,Login / verification,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] SMS
[SENDER] ING
[TITLE] Brak
[CONTENT] ING: Wykryto logowanie z urzadzenia iPhone 13 w lokalizacji Moskwa. Zablokuj dostep, jesli to nie Ty: [ing-security-block-login.com/alert/83M1](https://www.google.com/search?q=https://ing-security-block-login.com/alert/83M1)"
SMS,Brak,Morele.net: Zamowienie nr 8291029 zostalo anulowane na Twoje zyczenie. Srodki zostana zwrocone w ciagu 3 dni roboczych.,morele.net,Payment / refund,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] morele.net
[TITLE] Brak
[CONTENT] Morele.net: Zamowienie nr 8291029 zostalo anulowane na Twoje zyczenie. Srodki zostana zwrocone w ciagu 3 dni roboczych."
E-mail,Amazon: Konto zawieszone,"Witaj, Twoje konto Amazon zostalo zawieszone. Podejrzana aktywnosc. Odwolaj sie tutaj: [amazon-account-appeal-verify.com/check/83L1](https://www.google.com/search?q=https://amazon-account-appeal-verify.com/check/83L1) . Masz 48h. Amazon.",Inny,Account block warning,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Amazon: Konto zawieszone
[CONTENT] Witaj, Twoje konto Amazon zostalo zawieszone. Podejrzana aktywnosc. Odwolaj sie tutaj: [amazon-account-appeal-verify.com/check/83L1](https://www.google.com/search?q=https://amazon-account-appeal-verify.com/check/83L1) . Masz 48h. Amazon."
SMS,Brak,PayPal: Twoje konto zostalo tymczasowo zawieszone. Wymagana weryfikacja tozsamosci. Przeslij dokumenty: paypal-verify-identity-doc.net/id/83L2,Inny,Account block warning,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] SMS
[SENDER] <MASK>
[TITLE] Brak
[CONTENT] PayPal: Twoje konto zostalo tymczasowo zawieszone. Wymagana weryfikacja tozsamosci. Przeslij dokumenty: paypal-verify-identity-doc.net/id/83L2"
SMS,Brak,Morele.net: Twoje zamowienie 2025/01/293 zostalo anulowane z powodu braku wplaty. Zamowienie mozesz zlozyc ponownie.,morele.net,Payment / refund,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] morele.net
[TITLE] Brak
[CONTENT] Morele.net: Twoje zamowienie 2025/01/293 zostalo anulowane z powodu braku wplaty. Zamowienie mozesz zlozyc ponownie."
E-mail,Aktualizacja certyfikatu US,"Szanowni Podatnicy, Urzad Skarbowy wymaga aktualizacji certyfikatu podatkowego. Odwiedz us.gov.pl/u/5K7M9P2Q4R6 i wprowadz dane. Numer: 1Z68X9Y2P3Q4R5. Proces jest obowiazkowy.",US,Data / certificate update,1,3,official-bureaucratic,brak,False,grok_4.1,"[TYPE] E-mail
[SENDER] US
[TITLE] Aktualizacja certyfikatu US
[CONTENT] Szanowni Podatnicy, Urzad Skarbowy wymaga aktualizacji certyfikatu podatkowego. Odwiedz us.gov.pl/u/5K7M9P2Q4R6 i wprowadz dane. Numer: 1Z68X9Y2P3Q4R5. Proces jest obowiazkowy."
Email,Informacja o odbiorze paczki,"Dzien dobry, Twoja przesylka o numerze 1K5P9M3L7Q2B jest dostepna w paczkomacie. Kod odbioru 3816, wazny przez 72 godziny. Odbierz jak najszybciej. Zespol InPost.",InPost,Parcel pickup,2,3,formal-corporate,brak,False,grok_4.1,"[TYPE] Email
[SENDER] InPost
[TITLE] Informacja o odbiorze paczki
[CONTENT] Dzien dobry, Twoja przesylka o numerze 1K5P9M3L7Q2B jest dostepna w paczkomacie. Kod odbioru 3816, wazny przez 72 godziny. Odbierz jak najszybciej. Zespol InPost."
SMS,Brak,"BLIK: Otrzymales przelew na telefon 300 PLN. Kliknij, aby odebrac srodki na swoje konto: blik-odbior-gotowki-online.eu/get/93K2",Inny,Payment / refund,5,2,formal-corporate,fake refund / overpayment,True,gemini_3,"[TYPE] SMS
[SENDER] <MASK>
[TITLE] Brak
[CONTENT] BLIK: Otrzymales przelew na telefon 300 PLN. Kliknij, aby odebrac srodki na swoje konto: blik-odbior-gotowki-online.eu/get/93K2"
